#MFT Mesh-HWP v2 (GP - 2019/06/22) - HFSS simulations						
#Freq [GHz]	Tx_Cap	Ax_Cap	Tx_Ind	Ax_Ind	DPh [deg]	Cx_Pol-45d

183	0.98133	0.01172	0.98163	0.01379	197.63599	-16.37533
184	0.98158	0.01186	0.98374	0.01373	197.06038	-16.65131
185	0.98168	0.01201	0.98417	0.01364	196.49992	-16.94118
186	0.9816	0.01216	0.98427	0.01354	195.93744	-17.24276
187	0.98134	0.01232	0.98403	0.01344	195.37294	-17.55607
188	0.9809	0.01247	0.98346	0.01332	194.80643	-17.8811
189	0.98029	0.01263	0.98256	0.0132	194.2379	-18.21784
190	0.97948	0.01278	0.98082	0.01309	193.60958	-18.62718
191	0.9785	0.01294	0.97857	0.01298	192.95999	-19.06854
192	0.97733	0.0131	0.97582	0.01288	192.28913	-19.5419
193	0.97598	0.01326	0.97257	0.01277	191.59699	-20.04728
194	0.97445	0.01342	0.96881	0.01267	190.88359	-20.58466
195	0.97327	0.0136	0.96714	0.01261	190.14226	-21.24457
196	0.97208	0.01377	0.96583	0.01256	189.37745	-21.96666
197	0.97089	0.01396	0.96487	0.01253	188.58914	-22.75094
198	0.9697	0.01414	0.96428	0.01252	187.77735	-23.59739
199	0.9685	0.01433	0.96404	0.01252	186.94207	-24.50603
200	0.96831	0.01455	0.96524	0.01253	186.15172	-25.69344
201	0.96846	0.01477	0.96716	0.01254	185.36069	-27.01523
202	0.96894	0.01501	0.9698	0.01257	184.56898	-28.47139
203	0.96976	0.01525	0.97315	0.01261	183.77658	-30.06194
204	0.97091	0.01551	0.97722	0.01266	182.9835	-31.78687
205	0.97201	0.01577	0.97875	0.01265	182.19866	-33.59303
206	0.97331	0.01604	0.97991	0.01263	181.4161	-35.51587
207	0.97482	0.01632	0.98069	0.0126	180.63584	-37.55537
208	0.97653	0.01661	0.98111	0.01257	179.85787	-39.71153
209	0.97845	0.0169	0.98116	0.01252	179.08219	-41.98437
210	0.97926	0.01719	0.97852	0.01243	178.21334	-40.92535
211	0.97983	0.01748	0.97474	0.01234	177.31495	-38.83349
212	0.98017	0.01777	0.96981	0.01222	176.38704	-35.7088
213	0.98028	0.01806	0.96375	0.01209	175.4296	-31.55126
214	0.98016	0.01836	0.95653	0.01193	174.44262	-26.36089
215	0.98016	0.01867	0.95172	0.01183	173.38587	-24.38249
216	0.98004	0.019	0.94695	0.01173	172.28618	-22.7862
217	0.97981	0.01933	0.94221	0.01163	171.14354	-21.57202
218	0.97947	0.01966	0.93751	0.01153	169.95796	-20.73993
219	0.97902	0.02001	0.93285	0.01144	168.72943	-20.28994
220	0.97863	0.02038	0.92938	0.01137	167.58122	-19.38303
221	0.9782	0.02076	0.92632	0.01131	166.43116	-18.57853
222	0.97771	0.02116	0.92368	0.01125	165.27924	-17.87647
223	0.97717	0.02157	0.92146	0.01121	164.12547	-17.27682
224	0.97657	0.02199	0.91966	0.01117	162.96984	-16.7796
