#HFT Mesh-HWP v2 (GP - 2019/06/22) - HFSS simulations 					
#Freq [GHz]	Tx_Cap	Ax_Cap	Tx_Ind	Ax_Ind	DPh [deg]	Cx_Pol-45d	

260	0.97282	0.00936	0.93912	0.02633	206.34395	-13.03584
261	0.97582	0.00944	0.93955	0.02617	206.33751	-13.02924
262	0.9787	0.00952	0.9401	0.02601	206.31504	-13.0279
263	0.98145	0.00959	0.94075	0.02587	206.27653	-13.03182
264	0.98356	0.00966	0.94143	0.02573	206.2454	-13.03512
265	0.98538	0.00973	0.94219	0.02559	206.20604	-13.04171
266	0.9869	0.0098	0.94304	0.02546	206.15845	-13.0516
267	0.98813	0.00986	0.94397	0.02534	206.10263	-13.06479
268	0.98905	0.00992	0.94498	0.02522	206.03858	-13.08127
269	0.98968	0.00998	0.94589	0.0251	205.9902	-13.0938
270	0.99001	0.01004	0.94681	0.02498	205.94155	-13.1072
271	0.99004	0.01009	0.94776	0.02486	205.89265	-13.12148
272	0.98978	0.01014	0.94873	0.02474	205.84348	-13.13663
273	0.98921	0.01019	0.94973	0.02463	205.79404	-13.15267
274	0.98877	0.01024	0.95052	0.02452	205.75634	-13.1648
275	0.98818	0.01029	0.95125	0.0244	205.72237	-13.17622
276	0.98743	0.01034	0.95194	0.02429	205.69214	-13.18693
277	0.98652	0.01038	0.95257	0.02418	205.66565	-13.19692
278	0.98546	0.01043	0.95315	0.02407	205.64288	-13.2062
279	0.98477	0.01048	0.95353	0.02396	205.61914	-13.21518
280	0.98409	0.01053	0.95381	0.02385	205.59755	-13.22358
281	0.98344	0.01058	0.95398	0.02374	205.57812	-13.2314
282	0.9828	0.01063	0.95405	0.02363	205.56086	-13.23865
283	0.98218	0.01068	0.95401	0.02353	205.54575	-13.24532
284	0.9819	0.01074	0.95388	0.02343	205.51645	-13.2561
285	0.98173	0.0108	0.95365	0.02333	205.48386	-13.26788
286	0.98169	0.01086	0.95332	0.02323	205.44798	-13.28065
287	0.98178	0.01092	0.95289	0.02313	205.4088	-13.29441
288	0.98199	0.01098	0.95235	0.02304	205.36634	-13.30915
289	0.98229	0.01104	0.95189	0.02295	205.30361	-13.33046
290	0.9827	0.01111	0.95139	0.02286	205.23194	-13.35461
291	0.98322	0.01118	0.95085	0.02278	205.15133	-13.3816
292	0.98386	0.01125	0.95026	0.0227	205.06177	-13.41144
293	0.98461	0.01132	0.94963	0.02263	204.96326	-13.44413
294	0.98517	0.01139	0.94923	0.02255	204.84875	-13.48286
295	0.98574	0.01147	0.94887	0.02249	204.72296	-13.52549
296	0.98632	0.01154	0.94856	0.02242	204.58586	-13.57203
297	0.98691	0.01161	0.94829	0.02236	204.43747	-13.62248
298	0.98751	0.01169	0.94807	0.0223	204.27779	-13.67685
299	0.98775	0.01176	0.94813	0.02224	204.11427	-13.73408
300	0.98789	0.01183	0.94831	0.02219	203.94195	-13.79487
301	0.98791	0.0119	0.94861	0.02213	203.76082	-13.85922
302	0.98781	0.01197	0.94903	0.02208	203.57089	-13.92713
303	0.98761	0.01204	0.94958	0.02204	203.37215	-13.99861
304	0.9871	0.01211	0.95033	0.02198	203.18297	-14.06824
305	0.98642	0.01217	0.95123	0.02193	202.99111	-14.13963
306	0.98557	0.01224	0.95228	0.02189	202.79657	-14.21278
307	0.98453	0.0123	0.95348	0.02184	202.59934	-14.28769
308	0.98332	0.01236	0.95483	0.02179	202.39943	-14.36437
309	0.98205	0.01242	0.95621	0.02174	202.21632	-14.43525
310	0.98063	0.01248	0.9577	0.02168	202.03701	-14.50537
311	0.97908	0.01254	0.9593	0.02163	201.86152	-14.57474
312	0.97739	0.0126	0.961	0.02157	201.68984	-14.64336
313	0.97555	0.01265	0.96282	0.02152	201.52196	-14.71121
314	0.97391	0.01271	0.96446	0.02146	201.36807	-14.77308
315	0.97224	0.01277	0.96612	0.02139	201.22138	-14.83244
316	0.97055	0.01283	0.96779	0.02133	201.0819	-14.8893
317	0.96882	0.01288	0.96947	0.02126	200.94961	-14.94365
318	0.96706	0.01294	0.97117	0.02119	200.82453	-14.99551
319	0.96564	0.013	0.97255	0.02112	200.70233	-15.04583
320	0.9643	0.01306	0.97384	0.02104	200.5859	-15.09396
321	0.96306	0.01313	0.97504	0.02096	200.47523	-15.13992
322	0.96191	0.01319	0.97613	0.02088	200.37032	-15.1837
323	0.96084	0.01326	0.97714	0.0208	200.27118	-15.2253
324	0.96008	0.01332	0.97784	0.02072	200.16164	-15.27164
325	0.95948	0.01339	0.97838	0.02064	200.05248	-15.31812
326	0.95904	0.01347	0.97876	0.02056	199.9437	-15.36472
327	0.95876	0.01354	0.97898	0.02048	199.8353	-15.41145
328	0.95864	0.01362	0.97903	0.0204	199.72727	-15.45831
329	0.95868	0.0137	0.97896	0.02032	199.60027	-15.51416
330	0.95887	0.01378	0.97874	0.02025	199.46721	-15.5731
331	0.95923	0.01386	0.97836	0.02017	199.32806	-15.63512
332	0.95974	0.01395	0.97784	0.0201	199.18285	-15.70023
333	0.96041	0.01403	0.97717	0.02003	199.03156	-15.76843
334	0.96106	0.01412	0.97661	0.01996	198.86135	-15.84642
335	0.96182	0.01421	0.97598	0.0199	198.68078	-15.92973
336	0.96267	0.0143	0.97529	0.01984	198.48985	-16.01836
337	0.96362	0.01439	0.97453	0.01978	198.28857	-16.11232
338	0.96468	0.01448	0.97371	0.01973	198.07693	-16.21159
339	0.9656	0.01458	0.97315	0.01968	197.85398	-16.31885
340	0.96654	0.01467	0.97264	0.01964	197.62036	-16.4323
341	0.9675	0.01476	0.97217	0.01959	197.37607	-16.55197
342	0.96848	0.01486	0.97175	0.01956	197.1211	-16.67783
343	0.96949	0.01495	0.97137	0.01952	196.85546	-16.80991
344	0.97034	0.01504	0.97124	0.01949	196.58867	-16.94699
345	0.97114	0.01514	0.97123	0.01945	196.31438	-17.08987
346	0.97192	0.01523	0.97133	0.01942	196.0326	-17.23856
347	0.97265	0.01533	0.97154	0.0194	195.74331	-17.39305
348	0.97334	0.01542	0.97187	0.01937	195.44653	-17.55335
349	0.97393	0.01552	0.97229	0.01934	195.15542	-17.71626
350	0.97445	0.01561	0.97281	0.01931	194.86121	-17.88391
351	0.97492	0.0157	0.97344	0.01928	194.5639	-18.0563
352	0.97532	0.0158	0.97418	0.01925	194.26348	-18.23343
353	0.97565	0.01589	0.97502	0.01922	193.95996	-18.41531
354	0.97594	0.01599	0.97572	0.01919	193.66219	-18.60019
355	0.97617	0.01608	0.97643	0.01915	193.36426	-18.78925
356	0.97634	0.01618	0.97717	0.01911	193.06618	-18.98247
357	0.97645	0.01627	0.97793	0.01906	192.76795	-19.17986
358	0.97651	0.01637	0.97871	0.01902	192.46956	-19.38141
359	0.97652	0.01647	0.97917	0.01896	192.17089	-19.59109
360	0.97649	0.01656	0.97953	0.01891	191.87202	-19.80626
361	0.97641	0.01666	0.9798	0.01885	191.57295	-20.02691
362	0.97628	0.01676	0.97997	0.01878	191.27368	-20.25305
363	0.97609	0.01685	0.98005	0.01871	190.97421	-20.48468
364	0.97586	0.01695	0.97982	0.01865	190.66656	-20.73433
365	0.97557	0.01705	0.97941	0.01857	190.35605	-20.99365
366	0.97523	0.01715	0.97884	0.0185	190.04267	-21.26263
367	0.97483	0.01725	0.97809	0.01842	189.72644	-21.54127
368	0.97439	0.01735	0.97718	0.01834	189.40735	-21.82958
369	0.97389	0.01745	0.97617	0.01827	189.07565	-22.14978
370	0.97334	0.01755	0.97502	0.01819	188.73784	-22.48705
371	0.97273	0.01765	0.97371	0.01812	188.39392	-22.84139
372	0.97207	0.01775	0.97227	0.01804	188.0439	-23.2128
373	0.97136	0.01785	0.97067	0.01797	187.68776	-23.60128
374	0.97065	0.01795	0.96928	0.0179	187.32092	-24.04326
375	0.9699	0.01806	0.96787	0.01784	186.94645	-24.51446
376	0.96911	0.01816	0.96642	0.01779	186.56434	-25.01487
377	0.96829	0.01827	0.96494	0.01773	186.17458	-25.54449
378	0.96744	0.01837	0.96344	0.01768	185.77719	-26.10333
379	0.96668	0.01848	0.96235	0.01764	185.37586	-26.76751
380	0.96594	0.01859	0.96138	0.01761	184.96811	-27.48628
381	0.96521	0.01871	0.96053	0.01758	184.55396	-28.25963
382	0.96449	0.01882	0.9598	0.01756	184.13341	-29.08757
383	0.96378	0.01894	0.95919	0.01755	183.70644	-29.97011
384	0.96326	0.01906	0.95898	0.01754	183.28275	-31.18432
385	0.96281	0.01919	0.95899	0.01754	182.85587	-32.5455
386	0.96243	0.01932	0.95921	0.01754	182.4258	-34.05362
387	0.96212	0.01945	0.95964	0.01755	181.99256	-35.7087
388	0.96188	0.01958	0.96029	0.01757	181.55613	-37.51074
389	0.96183	0.01972	0.96111	0.01758	181.12638	-39.104
390	0.96189	0.01987	0.96211	0.0176	180.69673	-40.72565
391	0.96207	0.02002	0.96332	0.01763	180.26718	-42.37568
392	0.96235	0.02017	0.96472	0.01765	179.83773	-44.05409
393	0.96274	0.02033	0.96632	0.01769	179.40839	-45.76088
394	0.96321	0.02049	0.96769	0.01771	178.98308	-44.84714
395	0.96378	0.02065	0.96912	0.01773	178.55918	-43.07882
396	0.96445	0.02082	0.97059	0.01775	178.1367	-40.45592
397	0.96522	0.02099	0.97213	0.01777	177.71562	-36.97842
398	0.96609	0.02116	0.97372	0.01779	177.29597	-32.64634
399	0.96688	0.02134	0.97473	0.0178	176.8721	-30.99378
400	0.9677	0.02152	0.97558	0.0178	176.44776	-29.66467
401	0.96857	0.0217	0.97628	0.0178	176.02297	-28.65902
402	0.96947	0.02188	0.97683	0.01779	175.59771	-27.97681
403	0.97041	0.02207	0.97722	0.01777	175.17199	-27.61806
404	0.97115	0.02225	0.97697	0.01775	174.73177	-26.81821
405	0.97185	0.02243	0.97641	0.01771	174.2864	-26.08696
406	0.97251	0.02261	0.97554	0.01767	173.83589	-25.42431
407	0.97313	0.0228	0.97435	0.01762	173.38024	-24.83027
408	0.97371	0.02298	0.97284	0.01756	172.91945	-24.30483
409	0.97411	0.02317	0.97105	0.0175	172.43767	-23.72569
